127.0.0.1 - - [04/Jan/2018:14:17:45 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:46 -0700] "GET /MVCProject/ HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:46 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:46 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:46 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:17:46 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:03 -0700] "GET /MVCProject/ HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:03 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:03 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:03 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [04/Jan/2018:14:19:03 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1679
